LECROYHDO6104,19237,Histogram
Segments,1,SegmentSize,100
Segment,TrigTime,TimeSinceSegment1
#1,03-Feb-2021 10:05:41,0                 
Time,Ampl
-0.38,0
-0.36,0
-0.34,0
-0.32,0
-0.3,0
-0.28,0
-0.26,0
-0.24,0
-0.22,0
-0.2,0
-0.18,0
-0.16,0
-0.14,0
-0.12,0
-0.1,0
-0.08,0
-0.06,0
-0.04,0
-0.02,0
6.25e-017,56
0.02,0
0.04,0
0.06,1
0.08,0
0.1,0
0.12,0
0.14,1
0.16,1
0.18,0
0.2,0
0.22,0
0.24,1
0.26,2
0.28,0
0.3,1
0.32,1
0.34,2
0.36,3
0.38,6
0.4,10
0.42,8
0.44,6
0.46,9
0.48,7
0.5,8
0.52,13
0.54,9
0.56,2
0.58,7
0.6,5
0.62,7
0.64,2
0.66,4
0.68,3
0.7,3
0.72,4
0.74,1
0.76,1
0.78,1
0.8,0
0.82,2
0.84,2
0.86,0
0.88,0
0.9,0
0.92,0
0.94,0
0.96,0
0.98,1
1,0
1.02,2
1.04,1
1.06,0
1.08,1
1.1,0
1.12,0
1.14,1
1.16,2
1.18,0
1.2,1
1.22,2
1.24,0
1.26,0
1.28,0
1.3,0
1.32,0
1.34,0
1.36,0
1.38,0
1.4,0
1.42,0
1.44,0
1.46,0
1.48,0
1.5,0
1.52,0
1.54,0
1.56,0
1.58,0
1.6,0
