LECROYHDO6104,19237,Histogram
Segments,1,SegmentSize,100
Segment,TrigTime,TimeSinceSegment1
#1,03-Feb-2021 10:18:04,0                 
Time,Ampl
-0.38,0
-0.36,0
-0.34,0
-0.32,0
-0.3,0
-0.28,0
-0.26,0
-0.24,0
-0.22,0
-0.2,0
-0.18,0
-0.16,0
-0.14,0
-0.12,0
-0.1,0
-0.08,0
-0.06,0
-0.04,0
-0.02,0
6.25e-017,55
0.02,1
0.04,0
0.06,1
0.08,0
0.1,1
0.12,1
0.14,1
0.16,1
0.18,1
0.2,0
0.22,2
0.24,0
0.26,0
0.28,0
0.3,0
0.32,0
0.34,3
0.36,4
0.38,5
0.4,8
0.42,10
0.44,13
0.46,5
0.48,5
0.5,6
0.52,7
0.54,8
0.56,12
0.58,5
0.6,2
0.62,3
0.64,2
0.66,5
0.68,3
0.7,2
0.72,2
0.74,1
0.76,1
0.78,3
0.8,1
0.82,3
0.84,0
0.86,2
0.88,2
0.9,2
0.92,0
0.94,2
0.96,1
0.98,0
1,0
1.02,2
1.04,1
1.06,1
1.08,0
1.1,1
1.12,0
1.14,0
1.16,1
1.18,0
1.2,0
1.22,2
1.24,0
1.26,0
1.28,0
1.3,0
1.32,0
1.34,0
1.36,0
1.38,0
1.4,0
1.42,0
1.44,0
1.46,0
1.48,0
1.5,0
1.52,0
1.54,0
1.56,0
1.58,0
1.6,0
