LECROYHDO6104,19237,Histogram
Segments,1,SegmentSize,100
Segment,TrigTime,TimeSinceSegment1
#1,06-Feb-2021 10:46:46,0                 
Time,Ampl
-0.38,0
-0.36,0
-0.34,0
-0.32,0
-0.3,0
-0.28,0
-0.26,0
-0.24,0
-0.22,0
-0.2,0
-0.18,0
-0.16,0
-0.14,0
-0.12,0
-0.1,0
-0.08,0
-0.06,0
-0.04,0
-0.02,0
6.25e-017,24258
0.02,446
0.04,249
0.06,238
0.08,227
0.1,202
0.12,176
0.14,205
0.16,196
0.18,190
0.2,178
0.22,172
0.24,181
0.26,165
0.28,192
0.3,238
0.32,466
0.34,1047
0.36,2005
0.38,3154
0.4,4308
0.42,4756
0.44,4760
0.46,4671
0.48,4258
0.5,3742
0.52,3421
0.54,2896
0.56,2498
0.58,2190
0.6,1903
0.62,1722
0.64,1475
0.66,1316
0.68,1086
0.7,1008
0.72,961
0.74,845
0.76,755
0.78,669
0.8,667
0.82,561
0.84,501
0.86,507
0.88,497
0.9,444
0.92,398
0.94,360
0.96,310
0.98,304
1,287
1.02,265
1.04,216
1.06,251
1.08,213
1.1,181
1.12,172
1.14,153
1.16,132
1.18,137
1.2,141
1.22,2245
1.24,0
1.26,0
1.28,0
1.3,0
1.32,0
1.34,0
1.36,0
1.38,0
1.4,0
1.42,0
1.44,0
1.46,0
1.48,0
1.5,0
1.52,0
1.54,0
1.56,0
1.58,0
1.6,0
