LECROYHDO6104,19237,Histogram
Segments,1,SegmentSize,100
Segment,TrigTime,TimeSinceSegment1
#1,08-Feb-2021 08:56:37,0                 
Time,Ampl
-0.216,0
-0.196,0
-0.176,0
-0.156,0
-0.136,0
-0.116,0
-0.096,0
-0.076,0
-0.056,0
-0.036,0
-0.016,0
0.004,0
0.024,0
0.044,0
0.064,0
0.084,0
0.104,0
0.124,0
0.144,0
0.164,0
0.184,0
0.204,0
0.224,0
0.244,0
0.264,0
0.284,0
0.304,0
0.324,1
0.344,0
0.364,5
0.384,3
0.404,8
0.424,10
0.444,3
0.464,3
0.484,5
0.504,2
0.524,0
0.544,2
0.564,3
0.584,0
0.604,3
0.624,0
0.644,0
0.664,0
0.684,0
0.704,1
0.724,3
0.744,0
0.764,2
0.784,2
0.804,0
0.824,0
0.844,0
0.864,1
0.884,0
0.904,0
0.924,0
0.944,1
0.964,0
0.984,0
1,1
1.02,1
1.04,0
1.06,0
1.08,0
1.1,0
1.12,0
1.14,1
1.16,1
1.18,0
1.2,0
1.22,5
1.24,0
1.26,0
1.28,0
1.3,0
1.32,0
1.34,0
1.36,0
1.38,0
1.4,0
1.42,0
1.44,0
1.46,0
1.48,0
1.5,0
1.52,0
1.54,0
1.56,0
1.58,0
1.6,0
1.62,0
1.64,0
1.66,0
1.68,0
1.7,0
1.72,0
1.74,0
1.76,0
